,,,,,Population change (%),,,Net domestic migration (%),,,,
CBSA,NAME,State,2012 unemployment rate,2013 population,2000-2007,2007-2013,2012-2013,2000-2007,2008-2013 avg,2012-2013,Pop gain/loss,Domestic migration gain/loss
24420,Grants Pass, OR,11.9,83306,0.064004008,0.032381991,0.005953172,0.094357784,0.005667059,0.008416553,G,G
24500,Great Falls, MT,5.4,82384,0.019688034,0.007385669,0.007336398,-0.038440917,-0.001949008,0.001516189,G,G
24540,Greeley, CO,8.7,269785,0.323445054,0.113663571,0.023754862,0.211286842,0.01121115,0.014074566,G,G
24580,Green Bay, WI,6.5,312409,0.062035668,0.038200283,0.004507937,0.010948094,4.21E-05,-0.001389036,G,L
24660,Greensboro-High Point, NC,9.9,741065,0.078618388,0.064309688,0.006632871,0.023064554,0.004212627,0.003395899,G,G
24780,Greenville, NC,9.3,174263,0.128418084,0.00832639,0.00746946,0.065625898,0.007367142,0.001705488,G,G
24860,Greenville-Anderson-Mauldin, SC,7.5,850965,0.097978288,0.379300564,0.010517653,0.045613098,0.007828431,0.006424354,G,G
25060,Gulfport-Biloxi-Pascagoula, MS,8.6,382516,-0.061801667,0.651744731,0.009258404,-0.088949027,0.005933744,0.0049445,G,G
25180,Hagerstown-Martinsburg, MD-WV,8.5,258294,0.168897578,-0.011424569,0.008082803,0.143222712,0.004738688,0.004531209,G,G
25220,Hammond, LA,7.7,125412,0.147531391,0.083931859,0.014151477,0.105925059,0.004865591,0.008280636,G,G
25260,Hanford-Corcoran, CA,15.3,150960,0.137531401,0.022611806,-0.00278765,0.03230231,-0.013521714,-0.014169452,L,L
25420,Harrisburg-Carlisle, PA,7.2,557711,0.039903505,0.052715923,0.005455349,0.016119218,0.001871765,0.002619505,G,G
25500,Harrisonburg, VA,5.9,129136,0.087962322,0.096137849,0.004793028,0.019744194,0.003813753,0.00052132,G,G
25540,Hartford-West Hartford-East Hartford, CT,8.4,1215211,0.030780727,0.02433533,0.000582955,-0.005830144,-0.001552114,-0.000474268,G,L
25620,Hattiesburg, MS,8,147991,0.117064146,0.065611072,0.008394715,0.066060728,0.005419108,0.002330351,G,G
25860,Hickory-Lenoir-Morganton, NC,11,363572,0.049501632,0.009627747,-0.00043164,0.011063185,-4.59E-05,-0.000731314,L,L
25940,Hilton Head Island-Bluffton-Beaufort, SC,8,198467,0.191877241,0.166211269,0.023579773,0.118409626,0.012970834,0.019773589,G,G
25980,Hinesville, GA,9.1,80759,-0.000306398,0.125090554,-0.010682216,-0.105958051,-0.001068275,-0.027452806,L,L
26140,Homosassa Springs, FL,9.8,139271,0.178684918,-0.004054692,-0.000351708,0.256551387,0.006827063,0.007479185,L,G
26300,Hot Springs, AR,7.5,97173,0.092235427,0.006984528,0.002931189,0.105885682,0.007872735,0.007606643,G,G
26380,Houma-Thibodaux, LA,4.5,209890,0.036377195,0.041596363,0.005807991,-0.011952581,-0.003406064,0.001015919,G,G
26420,Houston-The Woodlands-Sugar Land, TX,6.8,6313158,0.181089898,0.12781809,0.022296617,0.033320153,0.009356695,0.013136499,G,G
26580,Huntington-Ashland, WV-KY-OH,7.8,364101,-0.012526226,0.278700442,-0.00206931,-0.012990931,0.000242239,-0.001573223,L,L
26620,Huntsville, AL,6.2,435737,0.127711621,0.123888008,0.012997912,0.081190117,0.011826323,0.008462243,G,G
